sl_no,career,stream_after_12th,required_skills,preferred_interests,education_level_min,time_years_avg,cost_inr_avg,difficulty_level,risk_level,popularity_in_india,career_description,experiment_tasks_sample
265,Cybersecurity Specialist (CISO Level),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + advanced certifications + leadership,12,1800000,very high,medium,very high,Lead organization-wide cybersecurity as Chief Information Security Officer.,Develop enterprise security strategy;Lead incident response;Report to board;Train executives;Oversee compliance
266,Digital Marketing Director,Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;strategy;leadership,Bachelor's + extensive experience,10,1200000,medium,low,very high,Direct digital marketing for large organizations.,Define marketing roadmap;Lead marketing teams;Analyze ROI at scale;Present to board;Drive revenue growth
267,Fashion Design Director,Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + extensive experience,10,1200000,medium,low,high,Direct fashion design and brand strategy for major labels.,Lead design direction;Manage global teams;Present collections;Collaborate with luxury brands;Drive brand vision
268,Government Job - Cabinet Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as top-most civil servant in India.,Advise Prime Minister;Coordinate ministries;Formulate national policy;Lead bureaucracy;Represent India internationally
269,Software Engineer (Tech Lead),Science (PCM),python;c++;problem solving;web dev;git;leadership,technology;innovation;gadgets;team management,Bachelor's + experience,8,1100000,medium,low,high,Lead technical teams in software development.,Lead sprint execution;Conduct code reviews;Mentor developers;Design technical solutions;Present progress to management
270,AI/ML Engineer (Principal),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership,AI;data patterns;automation;research,Master's + senior experience,9,1300000,high,medium,very high,Principal AI/ML engineer leading complex projects.,Lead high-impact AI initiatives;Guide technical direction;Mentor senior engineers;Publish advanced research;Present to executives
271,Digital Marketing Specialist (Mid-Level),Any,seo;social media;content creation;google ads;analytics,marketing;trends;creativity,Bachelor's + 3-5 years,4,500000,low,low,very high,Execute mid-level digital marketing campaigns.,Manage social media;Run paid ads;Analyze performance;Create content;Report to senior manager
272,Fashion Designer (Mid-Level),Arts / Any,fashion sketching;garment construction;trend forecasting,textile knowledge;creativity,fashion;style;trends,Bachelor's + 3-5 years,5,600000,medium,low,high,Mid-level fashion design and production support.,Create seasonal designs;Work with suppliers;Assist in production;Present to buyers;Study market trends
273,Government Job - State Civil Services (Senior),Any,general studies;current affairs;law;administration,public service;administration,Bachelor's + State PSC,8-10,600000,very high,low,very high,Serve in senior state administrative roles.,Lead district administration;Implement state policies;Manage departments;Prepare reports;Coordinate with central govt
274,Software Engineer (DevOps),Science (PCM),docker;kubernetes;ci/cd;aws;python,technology;automation;cloud,Bachelor's,5,800000,medium,low,high,Build and maintain CI/CD pipelines and cloud infrastructure.,Set up Jenkins pipeline;Deploy to AWS;Automate infrastructure;Monitor systems;Optimize performance
275,AI/ML Engineer (MLOps),Science (PCM),python;machine learning;mlflow;kubernetes;docker,AI;deployment;automation,Bachelor's + experience,6,900000,high,medium,very high,Deploy and maintain ML models in production.,Build ML pipeline;Deploy models with Kubernetes;Monitor model performance;Automate retraining;Present to stakeholders
276,Bank Clerk (Government Job),Commerce / Any,quantitative aptitude;reasoning;english;general awareness,banking;stability,Bachelor's + IBPS Clerk,1-2 (training),200000,low,low,very high,Work as clerk in public sector bank.,Practice banking awareness;Take mock tests;Prepare interview;Learn banking operations;Join coaching
277,SSC CHSL Officer (Government Job),Any,general intelligence;english;quant;general awareness,government service;stability,Bachelor's + SSC CHSL,1-2 (training),200000,low,low,very high,Work in lower division clerk or data entry operator roles in govt departments.,Practice reasoning;Read current affairs;Take mock tests;Prepare typing test;Join coaching
278,Railway Technician (Government Job),Science (PCM),technical knowledge;maths;reasoning,railways;technical;stability,10th/ITI + RRB,1-2 (training),250000,medium,low,very high,Work as technician in Indian Railways.,Study railway technical;Practice reasoning;Take mock tests;Prepare interview;Join coaching
279,Defence Officer (Captain Level),Any (PCM for technical),physical fitness;leadership;strategy,defence;discipline;patriotism,Bachelor's + NDA + service,8-10,300000,high,low,very high,Serve as mid-level officer in Indian Armed Forces.,Lead company;Plan operations;Train soldiers;Implement strategy;Report to higher command
280,Content Creator / Influencer (Mid-Level),Any,video editing;storytelling;social media;seo,creativity;trends;communication,Bachelor's or self-taught + experience,3-5,300000,low,medium,very high,Grow mid-level personal brand and monetize content.,Grow 100k+ followers;Collaborate with brands;Monetize content;Analyze engagement;Plan content strategy
281,Renewable Energy Engineer (Project Lead),Science (PCM),solar/wind tech;electrical engineering;project management;cad;leadership,green energy;sustainability;innovation,Bachelor's + experience,8,1100000,high,medium,high,Lead large renewable energy projects.,Lead project execution;Manage budgets;Oversee installation;Mentor engineers;Present to investors
282,Software Engineer (Architect Level),Science (PCM),python;c++;problem solving;web dev;git;architecture;leadership,technology;innovation;strategy,Bachelor's + experience,9,1300000,medium,low,high,Design architecture for enterprise software systems.,Lead architecture design;Review technical decisions;Mentor teams;Present to C-level;Optimize for scale
283,AI/ML Engineer (Director Level),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + leadership experience,10,1500000,high,medium,very high,Direct AI/ML strategy for organizations.,Define AI roadmap;Lead multiple teams;Secure funding;Publish thought leadership;Present to board
284,Data Scientist (Director Level),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + leadership experience,9,1300000,high,medium,high,Direct data science and analytics strategy.,Lead data organization;Drive business transformation;Present to executives;Publish industry insights;Mentor leaders
285,Cybersecurity Specialist (CISO Level),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + advanced certifications + leadership,12,1800000,very high,medium,very high,Lead organization-wide cybersecurity as Chief Information Security Officer.,Develop enterprise security strategy;Lead incident response;Report to board;Train executives;Oversee compliance
286,Digital Marketing Director,Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;strategy;leadership,Bachelor's + extensive experience,10,1200000,medium,low,very high,Direct digital marketing for large organizations.,Define marketing roadmap;Lead marketing teams;Analyze ROI at scale;Present to board;Drive revenue growth
287,Fashion Design Director,Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + extensive experience,10,1200000,medium,low,high,Direct fashion design and brand strategy for major labels.,Lead design direction;Manage global teams;Present collections;Collaborate with luxury brands;Drive brand vision
288,Government Job - Cabinet Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as top-most civil servant in India.,Advise Prime Minister;Coordinate ministries;Formulate national policy;Lead bureaucracy;Represent India internationally
289,Software Engineer (Tech Lead),Science (PCM),python;c++;problem solving;web dev;git;leadership,technology;innovation;gadgets;team management,Bachelor's + experience,8,1100000,medium,low,high,Lead technical teams in software development.,Lead sprint execution;Conduct code reviews;Mentor developers;Design technical solutions;Present progress to management
290,AI/ML Engineer (Principal),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership,AI;data patterns;automation;research,Master's + senior experience,9,1300000,high,medium,very high,Principal AI/ML engineer leading complex projects.,Lead high-impact AI initiatives;Guide technical direction;Mentor senior engineers;Publish advanced research;Present to executives
291,Digital Marketing Specialist (Mid-Level),Any,seo;social media;content creation;google ads;analytics,marketing;trends;creativity,Bachelor's + 3-5 years,4,500000,low,low,very high,Execute mid-level digital marketing campaigns.,Manage social media;Run paid ads;Analyze performance;Create content;Report to senior manager
292,Fashion Designer (Mid-Level),Arts / Any,fashion sketching;garment construction;trend forecasting,textile knowledge;creativity,fashion;style;trends,Bachelor's + 3-5 years,5,600000,medium,low,high,Mid-level fashion design and production support.,Create seasonal designs;Work with suppliers;Assist in production;Present to buyers;Study market trends
293,Government Job - State Civil Services (Senior),Any,general studies;current affairs;law;administration,public service;administration,Bachelor's + State PSC,8-10,600000,very high,low,very high,Serve in senior state administrative roles.,Lead district administration;Implement state policies;Manage departments;Prepare reports;Coordinate with central govt
294,Software Engineer (DevOps),Science (PCM),docker;kubernetes;ci/cd;aws;python,technology;automation;cloud,Bachelor's,5,800000,medium,low,high,Build and maintain CI/CD pipelines and cloud infrastructure.,Set up Jenkins pipeline;Deploy to AWS;Automate infrastructure;Monitor systems;Optimize performance
295,AI/ML Engineer (MLOps),Science (PCM),python;machine learning;mlflow;kubernetes;docker,AI;deployment;automation,Bachelor's + experience,6,900000,high,medium,very high,Deploy and maintain ML models in production.,Build ML pipeline;Deploy models with Kubernetes;Monitor model performance;Automate retraining;Present to stakeholders
296,Bank Clerk (Government Job),Commerce / Any,quantitative aptitude;reasoning;english;general awareness,banking;stability,Bachelor's + IBPS Clerk,1-2 (training),200000,low,low,very high,Work as clerk in public sector bank.,Practice banking awareness;Take mock tests;Prepare interview;Learn banking operations;Join coaching
297,SSC CHSL Officer (Government Job),Any,general intelligence;english;quant;general awareness,government service;stability,Bachelor's + SSC CHSL,1-2 (training),200000,low,low,very high,Work in lower division clerk or data entry operator roles in govt departments.,Practice reasoning;Read current affairs;Take mock tests;Prepare typing test;Join coaching
298,Railway Technician (Government Job),Science (PCM),technical knowledge;maths;reasoning,railways;technical;stability,10th/ITI + RRB,1-2 (training),250000,medium,low,very high,Work as technician in Indian Railways.,Study railway technical;Practice reasoning;Take mock tests;Prepare interview;Join coaching
299,Defence Officer (Captain Level),Any (PCM for technical),physical fitness;leadership;strategy,defence;discipline;patriotism,Bachelor's + NDA + service,8-10,300000,high,low,very high,Serve as mid-level officer in Indian Armed Forces.,Lead company;Plan operations;Train soldiers;Implement strategy;Report to higher command
300,Content Creator / Influencer (Mid-Level),Any,video editing;storytelling;social media;seo,creativity;trends;communication,Bachelor's or self-taught + experience,3-5,300000,low,medium,very high,Grow mid-level personal brand and monetize content.,Grow 100k+ followers;Collaborate with brands;Monetize content;Analyze engagement;Plan content strategy
301,Renewable Energy Engineer (Senior Project Manager),Science (PCM),solar/wind tech;electrical engineering;project management;cad;leadership;budgeting,green energy;sustainability;project execution,Bachelor's + experience,9,1200000,high,medium,high,Senior project manager for renewable energy installations.,Lead large-scale projects;Manage multi-crore budgets;Oversee EPC contractors;Mentor project engineers;Present to investors & government
302,Software Engineer (Senior Architect),Science (PCM),python;c++;problem solving;web dev;git;architecture;cloud;leadership,technology;innovation;scalability,Bachelor's + senior experience,10,1400000,medium,low,high,Senior architect designing large-scale systems.,Lead system architecture for enterprise products;Review high-level designs;Mentor architects;Optimize for performance & cost;Present to C-level
303,AI/ML Engineer (Senior Director),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + senior leadership,11,1600000,high,medium,very high,Senior director of AI/ML teams.,Direct multiple AI departments;Define long-term AI strategy;Secure funding & partnerships;Publish industry papers;Present at global forums
304,Data Scientist (Senior Director),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + senior leadership,11,1600000,high,medium,high,Senior director of data science.,Direct data science & analytics departments;Drive enterprise-wide data strategy;Present to board;Publish thought leadership;Mentor directors
305,Cybersecurity Specialist (Senior Director),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + senior leadership,12,1700000,very high,medium,very high,Senior director of cybersecurity.,Direct cybersecurity organization;Define enterprise security roadmap;Report to board;Publish security research;Lead global teams
306,Digital Marketing (Senior Director),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + senior leadership,11,1400000,medium,low,very high,Senior director of digital marketing.,Direct digital marketing department;Define long-term strategy;Drive multi-channel growth;Present to board;Publish marketing insights
307,Fashion Design (Senior Director),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + senior leadership,11,1400000,medium,low,high,Senior director of fashion design.,Direct design department for major brands;Define creative roadmap;Lead global teams;Present collections;Drive brand growth
308,Government Job - Additional Chief Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,25+,500000,very high,low,very high,Serve as Additional Chief Secretary in key departments.,Assist Chief Secretary;Formulate policies;Coordinate departments;Advise ministers;Lead major initiatives
309,Software Engineer (Distinguished Engineer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;scalability,Bachelor's + distinguished experience,15,2000000,medium,low,high,Distinguished engineer leading technical innovation.,Lead technical innovation;Guide enterprise architecture;Mentor principal engineers;Publish technical papers;Present globally
310,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,2500000,high,medium,very high,Chief AI Officer leading AI transformation.,Define enterprise AI strategy;Lead AI organization;Secure board approval;Publish thought leadership;Present globally
311,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,2500000,high,medium,high,Chief Data Officer leading data-driven transformation.,Define enterprise data strategy;Lead data organization;Drive business transformation;Publish thought leadership;Present globally
312,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,2500000,very high,medium,very high,Chief Security Officer leading enterprise security.,Define enterprise security strategy;Lead security organization;Report to board;Publish security thought leadership;Present globally
313,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,2500000,medium,low,very high,Chief Marketing Officer leading global marketing.,Define enterprise marketing strategy;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
314,Fashion Design (Chief Creative Officer),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + C-level experience,15,2500000,medium,low,high,Chief Creative Officer leading global fashion brands.,Define creative vision;Lead design organization;Present collections globally;Collaborate with luxury houses;Drive brand legacy
315,Government Job - Union Cabinet Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,35+,500000,very high,low,very high,Serve as Cabinet Secretary of India.,Advise Prime Minister & Cabinet;Coordinate all ministries;Formulate national policy;Lead entire bureaucracy;Represent India globally
316,Software Engineer (Chief Architect),Science (PCM),python;c++;problem solving;web dev;git;architecture;leadership,technology;innovation;scalability,Bachelor's + C-level experience,15,3000000,medium,low,high,Chief Architect leading enterprise architecture.,Define enterprise architecture vision;Lead architecture teams;Drive technical strategy;Present to board;Publish architecture papers
317,AI/ML Engineer (Distinguished Fellow),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership,AI;data patterns;automation;research,Master's + distinguished experience,18,3500000,high,medium,very high,Distinguished fellow leading AI research.,Lead moonshot AI research;Publish in top journals;Guide global AI direction;Mentor C-level engineers;Present at global summits
318,Data Scientist (Distinguished Fellow),Science (PCM),python;sql;statistics;machine learning;pandas;leadership,data analysis;research;insights;strategy,Master's + distinguished experience,18,3500000,high,medium,high,Distinguished fellow leading advanced analytics.,Lead transformative data research;Publish industry-leading papers;Guide global data direction;Mentor C-level scientists;Present at global forums
319,Cybersecurity Specialist (Distinguished Fellow),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership,security;problem solving;protecting systems,Bachelor's + distinguished experience,18,3500000,very high,medium,very high,Distinguished fellow leading global cybersecurity research.,Lead global security research;Publish in top security journals;Guide CISO-level strategy;Mentor distinguished specialists;Present internationally
320,Digital Marketing (Distinguished Fellow),Any,seo;social media;content strategy;google ads;analytics;leadership,marketing;trends;creativity,Bachelor's + distinguished experience,18,3000000,medium,low,very high,Distinguished fellow leading global marketing research.,Lead global marketing transformation;Publish marketing thought leadership;Guide CMO-level strategy;Mentor distinguished marketers;Present internationally
321,Fashion Design (Distinguished Fellow),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + distinguished experience,18,3000000,medium,low,high,Distinguished fellow leading global fashion research.,Lead global design vision;Manage international research teams;Present at global fashion weeks;Collaborate with luxury houses;Drive fashion legacy
322,Government Job - Principal Advisor Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,35+,500000,very high,low,very high,Serve as Principal Advisor to Prime Minister.,Advise PM on key policy matters;Coordinate across ministries;Formulate strategic policies;Lead high-level committees;Represent India internationally
323,Software Engineer (Chief Engineer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;scalability,Bachelor's + C-level experience,18,3500000,medium,low,high,Chief Engineer leading technical excellence.,Define technical excellence vision;Lead engineering research;Drive innovation;Present to board;Publish technical papers
324,AI/ML Engineer (Global Head),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + global leadership,18,4000000,high,medium,very high,Global Head of AI/ML.,Define global AI strategy;Lead worldwide AI teams;Secure international partnerships;Present at global summits;Publish global thought leadership
325,Data Scientist (Global Head),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + global leadership,18,4000000,high,medium,high,Global Head of Data Science.,Define global data strategy;Lead worldwide data teams;Drive global data transformation;Publish global insights;Present at international forums
326,Cybersecurity Specialist (Global CISO),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + global leadership,18,4000000,very high,medium,very high,Global Chief Information Security Officer.,Define global security strategy;Lead worldwide security teams;Report to global board;Publish global security research;Present internationally
327,Digital Marketing (Global CMO),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + global leadership,18,4000000,medium,low,very high,Global Chief Marketing Officer.,Define global marketing strategy;Lead worldwide marketing teams;Drive global revenue growth;Publish global marketing thought leadership;Present internationally
328,Fashion Design (Global CCO),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + global leadership,18,4000000,medium,low,high,Global Chief Creative Officer.,Define global creative vision;Lead worldwide design teams;Present collections at global fashion weeks;Collaborate with international luxury brands;Drive global brand legacy
329,Government Job - Principal Scientific Advisor Level,Any (Science),science;policy;research;leadership,public service;science;policy,Bachelor's + advanced degrees + decades,35+,500000,very high,low,very high,Serve as Principal Scientific Advisor to Government of India.,Advise PM & Cabinet on science & technology;Coordinate national research;Formulate S&T policy;Lead scientific committees;Represent India globally
330,Software Engineer (Global CTO),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + global C-level,20,5000000,medium,low,high,Global Chief Technology Officer.,Define global technology vision;Lead worldwide engineering;Drive global innovation;Present at international board meetings;Publish global tech thought leadership
331,AI/ML Engineer (Global Head of AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + global leadership,20,5000000,high,medium,very high,Global Head of AI.,Define global AI vision;Lead worldwide AI teams;Drive global AI transformation;Secure international partnerships;Present at global AI summits
332,Data Scientist (Global Head of Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + global leadership,20,5000000,high,medium,high,Global Head of Data.,Define global data vision;Lead worldwide data teams;Drive global data transformation;Publish global data insights;Present at international data forums
333,Cybersecurity Specialist (Global Head of Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + global leadership,20,5000000,very high,medium,very high,Global Head of Security.,Define global security vision;Lead worldwide security teams;Drive global security strategy;Publish global security research;Present at international security conferences
334,Digital Marketing (Global Head of Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + global leadership,20,5000000,medium,low,very high,Global Head of Marketing.,Define global marketing vision;Lead worldwide marketing teams;Drive global revenue growth;Publish global marketing thought leadership;Present at international marketing summits
335,Fashion Design (Global Head of Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + global leadership,20,5000000,medium,low,high,Global Head of Design.,Define global design vision;Lead worldwide design teams;Present collections at global fashion weeks;Collaborate with international luxury brands;Drive global fashion legacy
336,Government Job - National Security Advisor Level,Any,strategic affairs;security;policy;leadership,public service;security;leadership,Bachelor's + advanced experience,35+,500000,very high,low,very high,Serve as National Security Advisor to Prime Minister.,Advise PM on national security;Coordinate security agencies;Formulate national security policy;Lead strategic decisions;Represent India globally
337,Software Engineer (Global Head of Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + global leadership,20,5000000,medium,low,high,Global Head of Engineering.,Define global engineering vision;Lead worldwide engineering teams;Drive global technical strategy;Present at global board meetings;Publish global engineering thought leadership
338,AI/ML Engineer (Global Chief AI Scientist),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;research,Master's + global leadership,20,5000000,high,medium,very high,Global Chief AI Scientist.,Define global AI research vision;Lead worldwide AI research;Publish in top global journals;Guide global AI direction;Present at international AI conferences
339,Data Scientist (Global Chief Data Scientist),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + global leadership,20,5000000,high,medium,high,Global Chief Data Scientist.,Define global data research vision;Lead worldwide data research;Publish global data insights;Guide global data direction;Present at international data conferences
340,Cybersecurity Specialist (Global Chief Security Scientist),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + global leadership,20,5000000,very high,medium,very high,Global Chief Security Scientist.,Define global security research vision;Lead worldwide security research;Publish in top security journals;Guide global security direction;Present at international security forums
341,Digital Marketing (Global Chief Marketing Scientist),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + global leadership,20,5000000,medium,low,very high,Global Chief Marketing Scientist.,Define global marketing research vision;Lead worldwide marketing research;Publish global marketing insights;Guide global marketing direction;Present at international marketing conferences
342,Fashion Design (Global Chief Design Scientist),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + global leadership,20,5000000,medium,low,high,Global Chief Design Scientist.,Define global design research vision;Lead worldwide design research;Publish global design insights;Guide global design direction;Present at international fashion forums
343,Government Job - Principal Defence Secretary Level,Any,defence;strategy;policy;leadership,public service;defence;leadership,Bachelor's + advanced experience,35+,500000,very high,low,very high,Serve as Defence Secretary of India.,Formulate national defence policy;Coordinate defence ministries;Advise Defence Minister;Lead defence forces coordination;Represent India in global defence forums
344,Software Engineer (Global Chief Engineer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;scalability,Bachelor's + global C-level,22,6000000,medium,low,high,Global Chief Engineer.,Define global engineering vision;Lead worldwide engineering research;Drive global technical innovation;Present at global board meetings;Publish global engineering thought leadership
345,AI/ML Engineer (Global Chief AI Researcher),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;research,Master's + global leadership,22,6000000,high,medium,very high,Global Chief AI Researcher.,Define global AI research vision;Lead worldwide AI research labs;Publish in top global journals;Guide global AI direction;Present at global AI summits
346,Data Scientist (Global Chief Data Researcher),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + global leadership,22,6000000,high,medium,high,Global Chief Data Researcher.,Define global data research vision;Lead worldwide data research labs;Publish global data insights;Guide global data direction;Present at global data conferences
347,Cybersecurity Specialist (Global Chief Security Researcher),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + global leadership,22,6000000,very high,medium,very high,Global Chief Security Researcher.,Define global security research vision;Lead worldwide security research labs;Publish in top security journals;Guide global security direction;Present at global security conferences
348,Digital Marketing (Global Chief Marketing Researcher),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + global leadership,22,6000000,medium,low,very high,Global Chief Marketing Researcher.,Define global marketing research vision;Lead worldwide marketing research labs;Publish global marketing insights;Guide global marketing direction;Present at global marketing conferences
349,Fashion Design (Global Chief Design Researcher),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + global leadership,22,6000000,medium,low,high,Global Chief Design Researcher.,Define global design research vision;Lead worldwide design research labs;Publish global design insights;Guide global design direction;Present at global fashion forums
350,Government Job - Principal Economic Advisor Level,Any (Economics),economics;policy;finance;leadership,public service;economics;policy,Bachelor's + advanced degrees + decades,35+,500000,very high,low,very high,Serve as Principal Economic Advisor to Government of India.,Advise PM & Finance Minister on economic policy;Coordinate economic ministries;Formulate national economic strategy;Lead economic committees;Represent India globally
351,Software Engineer (Global Head of Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + global leadership,20,5000000,medium,low,high,Global Head of Engineering.,Define global engineering vision;Lead worldwide engineering teams;Drive global technical strategy;Present at global board meetings;Publish global engineering thought leadership
352,AI/ML Engineer (Global Chief AI Scientist),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;research,Master's + global leadership,20,5000000,high,medium,very high,Global Chief AI Scientist.,Define global AI research vision;Lead worldwide AI research;Publish in top global journals;Guide global AI direction;Present at global AI conferences
353,Data Scientist (Global Chief Data Scientist),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + global leadership,20,5000000,high,medium,high,Global Chief Data Scientist.,Define global data research vision;Lead worldwide data research;Publish global data insights;Guide global data direction;Present at global data conferences
354,Cybersecurity Specialist (Global Chief Security Scientist),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + global leadership,20,5000000,very high,medium,very high,Global Chief Security Scientist.,Define global security research vision;Lead worldwide security research;Publish in top security journals;Guide global security direction;Present at global security forums
355,Digital Marketing (Global Chief Marketing Scientist),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + global leadership,20,5000000,medium,low,very high,Global Chief Marketing Scientist.,Define global marketing research vision;Lead worldwide marketing research;Publish global marketing insights;Guide global marketing direction;Present at global marketing conferences
356,Fashion Design (Global Chief Design Scientist),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + global leadership,20,5000000,medium,low,high,Global Chief Design Scientist.,Define global design research vision;Lead worldwide design research;Publish global design insights;Guide global design direction;Present at global fashion forums
357,Government Job - Principal Defence Secretary Level,Any,defence;strategy;policy;leadership,public service;defence;leadership,Bachelor's + advanced experience,35+,500000,very high,low,very high,Serve as Defence Secretary of India.,Formulate national defence policy;Coordinate defence ministries;Advise Defence Minister;Lead defence forces coordination;Represent India in global defence forums
358,Software Engineer (Global Chief Engineer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;scalability,Bachelor's + global C-level,22,6000000,medium,low,high,Global Chief Engineer.,Define global engineering vision;Lead worldwide engineering research;Drive global technical innovation;Present at global board meetings;Publish global engineering thought leadership
359,AI/ML Engineer (Global Chief AI Researcher),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;research,Master's + global leadership,22,6000000,high,medium,very high,Global Chief AI Researcher.,Define global AI research vision;Lead worldwide AI research labs;Publish in top global journals;Guide global AI direction;Present at global AI summits
